datetime,Actual Total Load (MW)
2019-10-31T23:00:00,24258.0
2019-11-01T00:00:00,23087.0
2019-11-01T01:00:00,21989.0
2019-11-01T02:00:00,21360.0
2019-11-01T03:00:00,21096.0
2019-11-01T04:00:00,20862.0
2019-11-01T05:00:00,21173.0
2019-11-01T06:00:00,21645.0
2019-11-01T07:00:00,22151.0
2019-11-01T08:00:00,23986.0
2019-11-01T09:00:00,25173.0
2019-11-01T10:00:00,25630.0
2019-11-01T11:00:00,25886.0
2019-11-01T12:00:00,26365.0
2019-11-01T13:00:00,25969.0
2019-11-01T14:00:00,24767.0
2019-11-01T15:00:00,24032.0
2019-11-01T16:00:00,23849.0
2019-11-01T17:00:00,25651.0
2019-11-01T18:00:00,26506.0
2019-11-01T19:00:00,26872.0
2019-11-01T20:00:00,26539.0
2019-11-01T21:00:00,25245.0
2019-11-01T22:00:00,23799.0
2019-11-01T23:00:00,22528.0
2019-11-02T00:00:00,21224.0
2019-11-02T01:00:00,20347.0
2019-11-02T02:00:00,19834.0
2019-11-02T03:00:00,19728.0
2019-11-02T04:00:00,19747.0
2019-11-02T05:00:00,20529.0
2019-11-02T06:00:00,21356.0
2019-11-02T07:00:00,22514.0
2019-11-02T08:00:00,24785.0
2019-11-02T09:00:00,26047.0
2019-11-02T10:00:00,26398.0
2019-11-02T11:00:00,26394.0
2019-11-02T12:00:00,26998.0
2019-11-02T13:00:00,26513.0
2019-11-02T14:00:00,25074.0
2019-11-02T15:00:00,24448.0
2019-11-02T16:00:00,24458.0
2019-11-02T17:00:00,26277.0
2019-11-02T18:00:00,26946.0
2019-11-02T19:00:00,27276.0
2019-11-02T20:00:00,26904.0
2019-11-02T21:00:00,25349.0
2019-11-02T22:00:00,23796.0
2019-11-02T23:00:00,22533.0
2019-11-03T00:00:00,20975.0
2019-11-03T01:00:00,19998.0
2019-11-03T02:00:00,19527.0
2019-11-03T03:00:00,19315.0
2019-11-03T04:00:00,19287.0
2019-11-03T05:00:00,19627.0
2019-11-03T06:00:00,19848.0
2019-11-03T07:00:00,20619.0
2019-11-03T08:00:00,22472.0
2019-11-03T09:00:00,23828.0
2019-11-03T10:00:00,24510.0
2019-11-03T11:00:00,24667.0
2019-11-03T12:00:00,25033.0
2019-11-03T13:00:00,24962.0
2019-11-03T14:00:00,23593.0
2019-11-03T15:00:00,22852.0
2019-11-03T16:00:00,22923.0
