datetime,Energy Price (EUR/MWh)
2019-11-01T00:00:00,42.1
2019-11-01T01:00:00,40.18
2019-11-01T02:00:00,32.4
2019-11-01T03:00:00,30.01
2019-11-01T04:00:00,29.1
2019-11-01T05:00:00,28.9
2019-11-01T06:00:00,29.1
2019-11-01T07:00:00,32.86
2019-11-01T08:00:00,33.0
2019-11-01T09:00:00,35.07
2019-11-01T10:00:00,33.01
2019-11-01T11:00:00,34.04
2019-11-01T12:00:00,35.9
2019-11-01T13:00:00,33.43
2019-11-01T14:00:00,31.5
2019-11-01T15:00:00,30.09
2019-11-01T16:00:00,30.0
2019-11-01T17:00:00,30.07
2019-11-01T18:00:00,38.08
2019-11-01T19:00:00,37.01
2019-11-01T20:00:00,31.98
2019-11-01T21:00:00,30.22
2019-11-01T22:00:00,30.49
2019-11-01T23:00:00,29.5
2019-11-02T00:00:00,27.31
2019-11-02T01:00:00,25.8
2019-11-02T02:00:00,24.78
2019-11-02T03:00:00,20.6
2019-11-02T04:00:00,18.99
2019-11-02T05:00:00,21.86
2019-11-02T06:00:00,24.47
2019-11-02T07:00:00,28.03
2019-11-02T08:00:00,29.34
2019-11-02T09:00:00,32.17
2019-11-02T10:00:00,31.04
2019-11-02T11:00:00,30.0
2019-11-02T12:00:00,29.6
2019-11-02T13:00:00,27.9
2019-11-02T14:00:00,26.89
2019-11-02T15:00:00,27.94
2019-11-02T16:00:00,30.0
2019-11-02T17:00:00,33.91
2019-11-02T18:00:00,39.44
2019-11-02T19:00:00,35.05
2019-11-02T20:00:00,32.06
2019-11-02T21:00:00,29.23
2019-11-02T22:00:00,28.81
2019-11-02T23:00:00,27.31
2019-11-03T00:00:00,16.45
2019-11-03T01:00:00,12.45
2019-11-03T02:00:00,9.0
2019-11-03T03:00:00,6.66
2019-11-03T04:00:00,6.77
2019-11-03T05:00:00,6.2
2019-11-03T06:00:00,7.62
2019-11-03T07:00:00,8.77
2019-11-03T08:00:00,9.0
2019-11-03T09:00:00,14.8
2019-11-03T10:00:00,17.2
2019-11-03T11:00:00,16.73
2019-11-03T12:00:00,17.7
2019-11-03T13:00:00,19.2
2019-11-03T14:00:00,19.66
