country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ESP,Spain,ABONO 2,WRI1006157,877.6600000000001,43.5528,-5.7231,Coal,,,,1985.0,HIDROELECTRICA DEL CANTABRICO  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1018390,,,,5929.178,4077.005,6000.0,,,JRC-PPDB-OPEN,,,,,4003.64,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,ACECA  GRUPO 4,WRI1006159,758.74,39.9427,-3.8548,Gas,,,,2006.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1031228,,,,1294.233,1272.51,1678.557,,,JRC-PPDB-OPEN,,,,,1798.46,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,ADS JUNEDA 2,WRI1006161,15.0,41.5485,0.8245,Waste,,,,2004.0,VALORITZACIONS AGRORAMADERES LES GARRIGUES  S.L.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1053781,,,,,,,,,,,,,,5.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,AGREDA,WRI1006162,18.0,41.8559,-1.9224,Wind,,,,2013.0,PARQUE EOLICO SIERRA DEL MADERO  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1110349,,,,,,,,,,,56.54,56.40,51.20,50.55,NO-ESTIMATION,WIND-V1,WIND-V1,WIND-V1,WIND-V1
ESP,Spain,AGREDA,WRI1006163,16.334,41.8559,-1.9224,Waste,,,,2000.0,INTEVER  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1053787,,,,,,,,,,,,,,5.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,AGROENERGETICA DE BAENA,WRI1006165,20.0,37.6167,-4.3225,Biomass,,,,,AGROENERGETICA DE BAENA  S.L.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
ESP,Spain,AGUAYO 3,WRI1006167,360.59999999999997,43.0952,-4.0004,Hydro,,,,1983.0,VIESGO GENERACION  S.L.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,WRI,1014379,,,,,,,,,,850.45,745.62,178.60,747.66,106.66,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ESP,Spain,ALBARELLOS GRUPO 1,WRI1006170,67.6,42.4333,-8.1443,Hydro,,,,1973.0,GAS NATURAL FENOSA GENERACION  S.L.U.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1032400,,,,,,,,,,222.39,222.39,142.40,223.00,134.55,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
ESP,Spain,ALCUDIA 1  GRUPO N 1,WRI1006172,533.8,39.8106,3.0913,Coal,Oil,,,1981.0,GAS Y ELECTRICIDAD GENERACION  S.A.U,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,CARMA,1017458,,,,,,,,,,,,,,2435.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ESP,Spain,ALDEADAVILA II 2,WRI1006178,1226.43,41.2117,-6.6856,Hydro,,,,1986.0,IBERDROLA GENERACION  S.A.,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2015,GEODB,1019078,,,,2251.653,3451.513,1196.199,,,JRC-PPDB-OPEN,4817.37,4810.30,2358.23,4794.75,3147.47,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
